key,value,date
AMZN,844.36,10/05/16
AMZN,841.66,10/06/16
AMZN,839.43,10/07/16
AMZN,841.71,10/10/16
AMZN,831.00,10/11/16
AMZN,834.09,10/12/16
AMZN,829.28,10/13/16
AMZN,822.96,10/14/16
AMZN,812.95,10/17/16
AMZN,817.65,10/18/16
AMZN,817.69,10/19/16
AMZN,810.32,10/20/16
AMZN,818.99,10/21/16
AMZN,838.09,10/24/16
AMZN,835.18,10/25/16
AMZN,822.59,10/26/16
AMZN,818.36,10/27/16
AMZN,776.32,10/28/16
AMZN,789.82,10/31/16
AMZN,785.41,11/01/16
AMZN,765.56,11/02/16
AMZN,767.03,11/03/16
AMZN,755.05,11/04/16
AMZN,784.93,11/07/16
AMZN,787.75,11/08/16
AMZN,771.88,11/09/16
AMZN,742.38,11/10/16
AMZN,739.01,11/11/16
AMZN,719.07,11/14/16
AMZN,743.24,11/15/16
AMZN,746.49,11/16/16
AMZN,756.40,11/17/16
AMZN,760.16,11/18/16
AMZN,780.00,11/21/16
AMZN,785.33,11/22/16
AMZN,780.12,11/23/16
AMZN,780.37,11/25/16
AMZN,766.77,11/28/16
AMZN,762.52,11/29/16
AMZN,750.57,11/30/16
AMZN,743.65,12/01/16
AMZN,740.34,12/02/16
AMZN,759.36,12/05/16
AMZN,764.72,12/06/16
AMZN,770.42,12/07/16
AMZN,767.33,12/08/16
AMZN,768.66,12/09/16
AMZN,760.12,12/12/16
AMZN,774.34,12/13/16
AMZN,768.82,12/14/16
AMZN,761.00,12/15/16
AMZN,757.77,12/16/16
AMZN,766.00,12/19/16
AMZN,771.22,12/20/16
AMZN,770.60,12/21/16
AMZN,766.34,12/22/16
AMZN,760.59,12/23/16
AMZN,771.40,12/27/16
AMZN,772.13,12/28/16
AMZN,765.15,12/29/16
AMZN,749.87,12/30/16
AMZN,753.67,01/03/17
AMZN,757.18,01/04/17
AMZN,780.45,01/05/17
AMZN,795.99,01/06/17
AMZN,796.92,01/09/17
AMZN,795.90,01/10/17
AMZN,799.02,01/11/17
AMZN,813.64,01/12/17
AMZN,817.14,01/13/17
AMZN,809.72,01/17/17
AMZN,807.48,01/18/17
AMZN,809.04,01/19/17
AMZN,808.33,01/20/17
AMZN,817.88,01/23/17
AMZN,822.44,01/24/17
AMZN,836.52,01/25/17
AMZN,839.15,01/26/17
AMZN,835.77,01/27/17
AMZN,830.38,01/30/17
AMZN,823.48,01/31/17
AMZN,832.35,02/01/17
AMZN,839.95,02/02/17
AMZN,810.20,02/03/17
AMZN,807.64,02/06/17
AMZN,812.50,02/07/17
AMZN,819.71,02/08/17
AMZN,821.36,02/09/17
AMZN,827.46,02/10/17
AMZN,836.53,02/13/17
AMZN,836.39,02/14/17
AMZN,842.70,02/15/17
AMZN,844.14,02/16/17
AMZN,845.07,02/17/17
AMZN,856.44,02/21/17
AMZN,855.61,02/22/17
AMZN,852.19,02/23/17
AMZN,845.24,02/24/17
AMZN,848.64,02/27/17
AMZN,845.04,02/28/17
AMZN,853.08,03/01/17
AMZN,848.91,03/02/17
AMZN,849.88,03/03/17
AMZN,846.61,03/06/17
AMZN,846.02,03/07/17
AMZN,850.50,03/08/17
AMZN,853.00,03/09/17
AMZN,852.46,03/10/17
AMZN,854.59,03/13/17
AMZN,852.53,03/14/17
AMZN,852.97,03/15/17
AMZN,853.42,03/16/17
AMZN,852.31,03/17/17
AMZN,856.97,03/20/17
AMZN,843.20,03/21/17
AMZN,848.06,03/22/17
AMZN,847.38,03/23/17
AMZN,845.61,03/24/17
AMZN,846.82,03/27/17
AMZN,856.00,03/28/17
AMZN,874.32,03/29/17
AMZN,876.34,03/30/17
AMZN,886.54,03/31/17
AMZN,891.51,04/03/17
AMZN,906.83,04/04/17
AMZN,909.28,04/05/17
AMZN,898.28,04/06/17
AMZN,894.88,04/07/17
AMZN,907.04,04/10/17
AMZN,902.36,04/11/17
AMZN,896.23,04/12/17
AMZN,884.67,04/13/17
AMZN,901.99,04/17/17
AMZN,903.78,04/18/17
AMZN,899.20,04/19/17
AMZN,902.06,04/20/17
AMZN,898.53,04/21/17
AMZN,907.41,04/24/17
AMZN,907.62,04/25/17
AMZN,909.29,04/26/17
AMZN,918.38,04/27/17
AMZN,924.99,04/28/17
AMZN,948.23,05/01/17
AMZN,946.94,05/02/17
AMZN,941.03,05/03/17
AMZN,937.53,05/04/17
AMZN,934.15,05/05/17
AMZN,949.04,05/08/17
AMZN,952.82,05/09/17
AMZN,948.95,05/10/17
